left,mid,right,OnTape
32,33,32,0
33,33,32,0
33,33,32,0
32,33,32,0
33,34,33,0
33,34,32,0
33,33,32,0
33,33,32,0
33,34,32,0
33,33,32,0
33,34,32,0
32,34,33,0
33,34,33,0
33,34,33,0
33,34,33,0
33,34,33,0
33,34,33,0
33,34,33,0
33,34,33,0
33,34,33,0
33,34,33,0
32,35,33,0
32,34,32,0
32,34,32,0
32,34,32,0
32,34,32,0
32,34,32,0
32,34,32,0
32,34,32,0
32,34,32,0
32,34,32,0
32,34,33,0
32,34,33,0
52,179,103,1
53,180,103,1
52,180,103,1
52,180,103,1
52,179,103,1
52,179,103,1
53,180,103,1
53,180,103,1
53,180,103,1
53,180,103,1
53,180,102,1
53,119,59,1
53,119,59,1
53,119,59,1
53,119,59,1
53,119,59,1
53,119,59,1
53,119,59,1
52,119,59,1
53,119,59,1
53,119,59,1
53,119,59,1
49,142,65,1
49,142,65,1
49,142,66,1
49,142,66,1
49,142,66,1
49,142,66,1
49,142,65,1
49,142,65,1
49,142,65,1
49,142,66,1
49,142,66,1
